"PBR_IFMS_ID" "Site" "Point" "SitePoint" "Date" "Observers" "Latitude" "Longitude" "Distance_m" "DBH_cm" "NAME"
"42" 10881374261638 "TNPickett" 1 "TNPickett_1" "5/30/2013" "GI_EL" 36.60321 -84.86096 3.6 15.6 "Liriodendron_tulipifera"
"43" 10881374261638 "TNPickett" 1 "TNPickett_1" "5/30/2013" "GI_EL" 36.60321 -84.86096 6 24.4 "Liriodendron_tulipifera"
"44" 10881374261638 "TNPickett" 1 "TNPickett_1" "5/30/2013" "GI_EL" 36.60321 -84.86096 6 16.1 "Acer_rubrum"
"45" 10881374261638 "TNPickett" 1 "TNPickett_1" "5/30/2013" "GI_EL" 36.60321 -84.86096 4.8 17.7 "Liriodendron_tulipifera"
"46" 10881374261638 "TNPickett" 1 "TNPickett_1" "5/30/2013" "GI_EL" 36.60321 -84.86096 2.7 13.5 "Morus_rubra"
"47" 10881374261638 "TNPickett" 1 "TNPickett_1" "5/30/2013" "GI_EL" 36.60321 -84.86096 6.3 23.6 "Oxydendron_arboreum"
"48" 10881374261638 "TNPickett" 1 "TNPickett_1" "5/30/2013" "GI_EL" 36.60321 -84.86096 6.9 13 "Fagus_grandiflora"
"49" 10881374261638 "TNPickett" 1 "TNPickett_1" "5/30/2013" "GI_EL" 36.60321 -84.86096 3 31.3 "Acer_saccharum"
"50" 10881374261638 "TNPickett" 1 "TNPickett_1" "5/30/2013" "GI_EL" 36.60321 -84.86096 7.5 10 "Acer_rubrum"
"51" 10881374261638 "TNPickett" 4 "TNPickett_4" "5/30/2013" "GI_EL" 36.59283 -84.86374 2.6 14.1 "Quercus_montana"
"52" 10881374261638 "TNPickett" 4 "TNPickett_4" "5/30/2013" "GI_EL" 36.59283 -84.86374 4.7 25.9 "Quercus_montana"
"53" 10881374261638 "TNPickett" 4 "TNPickett_4" "5/30/2013" "GI_EL" 36.59283 -84.86374 6.8 16.2 "Quercus_montana"
"54" 10881374261638 "TNPickett" 4 "TNPickett_4" "5/30/2013" "GI_EL" 36.59283 -84.86374 5.7 41.6 "Acer_rubrum"
"55" 10881374261638 "TNPickett" 4 "TNPickett_4" "5/30/2013" "GI_EL" 36.59283 -84.86374 5.1 29.6 "Quercus_montana"
"56" 10881374261638 "TNPickett" 4 "TNPickett_4" "5/30/2013" "GI_EL" 36.59283 -84.86374 6.5 15.5 "Acer_saccharum"
"57" 10881374261638 "TNPickett" 4 "TNPickett_4" "5/30/2013" "GI_EL" 36.59283 -84.86374 2.4 11.2 "Acer_rubrum"
"58" 10881374261638 "TNPickett" 4 "TNPickett_4" "5/30/2013" "GI_EL" 36.59283 -84.86374 2.7 21 "Acer_rubrum"
"59" 10881374261638 "TNPickett" 4 "TNPickett_4" "5/30/2013" "GI_EL" 36.59283 -84.86374 5.4 25.9 "Acer_saccharum"
"60" 10881374261638 "TNPickett" 4 "TNPickett_4" "5/30/2013" "GI_EL" 36.59283 -84.86374 5.4 23.6 "Quercus_montana"
"61" 10881374261638 "TNPickett" 2 "TNPickett_2" "5/31/2013" "GI_El" 36.59866 -84.86609 5.3 38.9 "Quercus_rubrum"
"62" 10881374261638 "TNPickett" 2 "TNPickett_2" "5/31/2013" "GI_El" 36.59866 -84.86609 8.1 12.1 "Acer_rubrum"
"63" 10881374261638 "TNPickett" 2 "TNPickett_2" "5/31/2013" "GI_El" 36.59866 -84.86609 9.7 31.3 "Quercus_montana"
"64" 10881374261638 "TNPickett" 2 "TNPickett_2" "5/31/2013" "GI_El" 36.59866 -84.86609 10.7 35.3 "Quercus_montana"
"65" 10881374261638 "TNPickett" 2 "TNPickett_2" "5/31/2013" "GI_El" 36.59866 -84.86609 5.1 16.6 "Acer_rubrum"
"66" 10881374261638 "TNPickett" 2 "TNPickett_2" "5/31/2013" "GI_El" 36.59866 -84.86609 5 54.6 "Quercus_montana"
"67" 10881374261638 "TNPickett" 2 "TNPickett_2" "5/31/2013" "GI_El" 36.59866 -84.86609 5.5 10.8 "Acer_rubrum"
"68" 10881374261638 "TNPickett" 2 "TNPickett_2" "5/31/2013" "GI_El" 36.59866 -84.86609 4.5 29.8 "Acer_rubrum"
"69" 10881374261638 "TNPickett" 2 "TNPickett_2" "5/31/2013" "GI_El" 36.59866 -84.86609 5.4 22.5 "Acer_rubrum"
"70" 10881374261638 "TNPickett" 2 "TNPickett_2" "5/31/2013" "GI_El" 36.59866 -84.86609 4 10.6 "Nyssa_sylvatica"
"71" 10881374261638 "TNPickett" 17 "TNPickett_17" "5/31/2013" "GI_El" 36.59938 -84.8671 1.9 23.8 "Paullinia_tomentosa"
"72" 10881374261638 "TNPickett" 17 "TNPickett_17" "5/31/2013" "GI_El" 36.59938 -84.8671 3.6 17.4 "Liriodendron_tulipifera"
"73" 10881374261638 "TNPickett" 17 "TNPickett_17" "5/31/2013" "GI_El" 36.59938 -84.8671 4.7 19.2 "Liriodendron_tulipifera"
"74" 10881374261638 "TNPickett" 17 "TNPickett_17" "5/31/2013" "GI_El" 36.59938 -84.8671 6.7 13.8 "Liriodendron_tulipifera"
"75" 10881374261638 "TNPickett" 17 "TNPickett_17" "5/31/2013" "GI_El" 36.59938 -84.8671 7.1 19.1 "Carya_glabra"
"76" 10881374261638 "TNPickett" 17 "TNPickett_17" "5/31/2013" "GI_El" 36.59938 -84.8671 5.5 18.6 "Carya_glabra"
"77" 10881374261638 "TNPickett" 17 "TNPickett_17" "5/31/2013" "GI_El" 36.59938 -84.8671 7.6 58 "Quercus_rubrum"
"78" 10881374261638 "TNPickett" 17 "TNPickett_17" "5/31/2013" "GI_El" 36.59938 -84.8671 8.5 21 "Acer_saccharum"
"79" 10881374261638 "TNPickett" 17 "TNPickett_17" "5/31/2013" "GI_El" 36.59938 -84.8671 4.1 17.6 "Acer_saccharum"
"80" 10881374261638 "TNPickett" 17 "TNPickett_17" "5/31/2013" "GI_El" 36.59938 -84.8671 5.9 12.5 "Prunus_virginiana"
"81" 10881374261638 "TNPickett" 14 "TNPickett_14" "5/31/2013" "GI_El" 36.59153 -84.8665 2.7 10.3 "Sassafras_albidum"
"82" 10881374261638 "TNPickett" 14 "TNPickett_14" "5/31/2013" "GI_El" 36.59153 -84.8665 2.7 10.4 "Sassafras_albidum"
"83" 10881374261638 "TNPickett" 14 "TNPickett_14" "5/31/2013" "GI_El" 36.59153 -84.8665 2.9 11.6 "Sassafras_albidum"
"84" 10881374261638 "TNPickett" 14 "TNPickett_14" "5/31/2013" "GI_El" 36.59153 -84.8665 5.5 14.7 "Pinus_virginiana"
"85" 10881374261638 "TNPickett" 14 "TNPickett_14" "5/31/2013" "GI_El" 36.59153 -84.8665 5 16.5 "Quercus_alba"
"86" 10881374261638 "TNPickett" 14 "TNPickett_14" "5/31/2013" "GI_El" 36.59153 -84.8665 5.3 20.8 "Liriodendron_tulipifera"
"87" 10881374261638 "TNPickett" 14 "TNPickett_14" "5/31/2013" "GI_El" 36.59153 -84.8665 5.8 12.6 "Pinus_virginiana"
"88" 10881374261638 "TNPickett" 14 "TNPickett_14" "5/31/2013" "GI_El" 36.59153 -84.8665 3 11.2 "Sassafras_albidum"
"89" 10881374261638 "TNPickett" 14 "TNPickett_14" "5/31/2013" "GI_El" 36.59153 -84.8665 3.4 10.5 "Sassafras_albidum"
"90" 10881374261638 "TNPickett" 14 "TNPickett_14" "5/31/2013" "GI_El" 36.59153 -84.8665 5.9 12.7 "Pinus_virginiana"
"91" 10881374261638 "TNPickett" 18 "TNPickett_18" "5/31/2013" "GI_El" 36.59395 -84.86694 1.9 19.4 "Quercus_montana"
